language,min_tokens,threshold_pct,group_regex,tp,fp,fn,precision,recall,f1
java,5,50,^(C\d+)(?:[_-]|(?=[A-Z])),19,0,17,1.000000,0.527800,0.690900
java,5,55,^(C\d+)(?:[_-]|(?=[A-Z])),17,0,19,1.000000,0.472200,0.641500
java,5,60,^(C\d+)(?:[_-]|(?=[A-Z])),13,0,23,1.000000,0.361100,0.530600
java,5,65,^(C\d+)(?:[_-]|(?=[A-Z])),9,0,27,1.000000,0.250000,0.400000
java,5,70,^(C\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
java,5,75,^(C\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
java,5,80,^(C\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
java,5,85,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,5,90,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,5,95,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
java,10,50,^(C\d+)(?:[_-]|(?=[A-Z])),11,0,25,1.000000,0.305600,0.468100
java,10,55,^(C\d+)(?:[_-]|(?=[A-Z])),9,0,27,1.000000,0.250000,0.400000
java,10,60,^(C\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
java,10,65,^(C\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
java,10,70,^(C\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
java,10,75,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,10,80,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,10,85,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,10,90,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,10,95,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
java,25,50,^(C\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
java,25,55,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,25,60,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,25,65,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,25,70,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,25,75,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,25,80,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
java,25,85,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,25,90,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,25,95,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
java,40,50,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,55,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,60,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,65,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,70,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,75,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,80,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,85,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
java,40,90,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,40,95,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
java,60,50,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,55,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,60,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,65,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,70,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,75,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,80,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,85,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
java,60,90,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
java,60,95,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
