language,k,w,threshold_pct,tp,fp,fn,precision,recall,f1
javascript,12,17,50,28,8,8,0.777800,0.777800,0.777800
javascript,12,17,55,26,6,10,0.812500,0.722200,0.764700
javascript,12,17,60,24,6,12,0.800000,0.666700,0.727300
javascript,12,17,65,21,4,15,0.840000,0.583300,0.688500
javascript,12,17,70,18,4,18,0.818200,0.500000,0.620700
javascript,12,17,75,12,2,24,0.857100,0.333300,0.480000
javascript,12,17,80,11,0,25,1.000000,0.305600,0.468100
javascript,12,17,85,10,0,26,1.000000,0.277800,0.434800
javascript,12,17,90,9,0,27,1.000000,0.250000,0.400000
javascript,12,17,95,9,0,27,1.000000,0.250000,0.400000
javascript,12,25,50,25,5,11,0.833300,0.694400,0.757600
javascript,12,25,55,24,2,12,0.923100,0.666700,0.774200
javascript,12,25,60,24,0,12,1.000000,0.666700,0.800000
javascript,12,25,65,17,0,19,1.000000,0.472200,0.641500
javascript,12,25,70,15,0,21,1.000000,0.416700,0.588200
javascript,12,25,75,13,0,23,1.000000,0.361100,0.530600
javascript,12,25,80,10,0,26,1.000000,0.277800,0.434800
javascript,12,25,85,9,0,27,1.000000,0.250000,0.400000
javascript,12,25,90,9,0,27,1.000000,0.250000,0.400000
javascript,12,25,95,9,0,27,1.000000,0.250000,0.400000
javascript,12,40,50,28,9,8,0.756800,0.777800,0.767100
javascript,12,40,55,23,4,13,0.851900,0.638900,0.730200
javascript,12,40,60,23,4,13,0.851900,0.638900,0.730200
javascript,12,40,65,22,0,14,1.000000,0.611100,0.758600
javascript,12,40,70,17,0,19,1.000000,0.472200,0.641500
javascript,12,40,75,13,0,23,1.000000,0.361100,0.530600
javascript,12,40,80,11,0,25,1.000000,0.305600,0.468100
javascript,12,40,85,10,0,26,1.000000,0.277800,0.434800
javascript,12,40,90,9,0,27,1.000000,0.250000,0.400000
javascript,12,40,95,8,0,28,1.000000,0.222200,0.363600
javascript,17,17,50,23,7,13,0.766700,0.638900,0.697000
javascript,17,17,55,20,6,16,0.769200,0.555600,0.645200
javascript,17,17,60,17,4,19,0.809500,0.472200,0.596500
javascript,17,17,65,11,4,25,0.733300,0.305600,0.431400
javascript,17,17,70,11,2,25,0.846200,0.305600,0.449000
javascript,17,17,75,11,2,25,0.846200,0.305600,0.449000
javascript,17,17,80,10,0,26,1.000000,0.277800,0.434800
javascript,17,17,85,10,0,26,1.000000,0.277800,0.434800
javascript,17,17,90,9,0,27,1.000000,0.250000,0.400000
javascript,17,17,95,8,0,28,1.000000,0.222200,0.363600
javascript,17,25,50,25,8,11,0.757600,0.694400,0.724600
javascript,17,25,55,23,7,13,0.766700,0.638900,0.697000
javascript,17,25,60,18,6,18,0.750000,0.500000,0.600000
javascript,17,25,65,16,4,20,0.800000,0.444400,0.571400
javascript,17,25,70,11,2,25,0.846200,0.305600,0.449000
javascript,17,25,75,11,2,25,0.846200,0.305600,0.449000
javascript,17,25,80,10,0,26,1.000000,0.277800,0.434800
javascript,17,25,85,10,0,26,1.000000,0.277800,0.434800
javascript,17,25,90,8,0,28,1.000000,0.222200,0.363600
javascript,17,25,95,8,0,28,1.000000,0.222200,0.363600
javascript,17,40,50,21,7,15,0.750000,0.583300,0.656200
javascript,17,40,55,20,6,16,0.769200,0.555600,0.645200
javascript,17,40,60,14,4,22,0.777800,0.388900,0.518500
javascript,17,40,65,10,4,26,0.714300,0.277800,0.400000
javascript,17,40,70,10,2,26,0.833300,0.277800,0.416700
javascript,17,40,75,10,2,26,0.833300,0.277800,0.416700
javascript,17,40,80,10,2,26,0.833300,0.277800,0.416700
javascript,17,40,85,8,0,28,1.000000,0.222200,0.363600
javascript,17,40,90,8,0,28,1.000000,0.222200,0.363600
javascript,17,40,95,8,0,28,1.000000,0.222200,0.363600
javascript,23,17,50,19,4,17,0.826100,0.527800,0.644100
javascript,23,17,55,16,4,20,0.800000,0.444400,0.571400
javascript,23,17,60,14,4,22,0.777800,0.388900,0.518500
javascript,23,17,65,11,0,25,1.000000,0.305600,0.468100
javascript,23,17,70,11,0,25,1.000000,0.305600,0.468100
javascript,23,17,75,9,0,27,1.000000,0.250000,0.400000
javascript,23,17,80,8,0,28,1.000000,0.222200,0.363600
javascript,23,17,85,8,0,28,1.000000,0.222200,0.363600
javascript,23,17,90,8,0,28,1.000000,0.222200,0.363600
javascript,23,17,95,8,0,28,1.000000,0.222200,0.363600
javascript,23,25,50,19,4,17,0.826100,0.527800,0.644100
javascript,23,25,55,17,4,19,0.809500,0.472200,0.596500
javascript,23,25,60,13,4,23,0.764700,0.361100,0.490600
javascript,23,25,65,11,0,25,1.000000,0.305600,0.468100
javascript,23,25,70,10,0,26,1.000000,0.277800,0.434800
javascript,23,25,75,9,0,27,1.000000,0.250000,0.400000
javascript,23,25,80,9,0,27,1.000000,0.250000,0.400000
javascript,23,25,85,8,0,28,1.000000,0.222200,0.363600
javascript,23,25,90,8,0,28,1.000000,0.222200,0.363600
javascript,23,25,95,8,0,28,1.000000,0.222200,0.363600
javascript,23,40,50,20,2,16,0.909100,0.555600,0.689700
javascript,23,40,55,17,0,19,1.000000,0.472200,0.641500
javascript,23,40,60,15,0,21,1.000000,0.416700,0.588200
javascript,23,40,65,15,0,21,1.000000,0.416700,0.588200
javascript,23,40,70,14,0,22,1.000000,0.388900,0.560000
javascript,23,40,75,10,0,26,1.000000,0.277800,0.434800
javascript,23,40,80,10,0,26,1.000000,0.277800,0.434800
javascript,23,40,85,9,0,27,1.000000,0.250000,0.400000
javascript,23,40,90,8,0,28,1.000000,0.222200,0.363600
javascript,23,40,95,8,0,28,1.000000,0.222200,0.363600
