language,min_tokens,threshold_pct,tp,fp,fn,precision,recall,f1
cpp,3,50,7,13,29,0.350000,0.194400,0.250000
cpp,3,55,5,10,31,0.333300,0.138900,0.196100
cpp,3,60,3,8,33,0.272700,0.083300,0.127700
cpp,3,65,2,6,34,0.250000,0.055600,0.090900
cpp,3,70,0,6,36,0.000000,0.000000,0.000000
cpp,3,75,0,5,36,0.000000,0.000000,0.000000
cpp,3,80,0,5,36,0.000000,0.000000,0.000000
cpp,3,85,0,3,36,0.000000,0.000000,0.000000
cpp,3,90,0,1,36,0.000000,0.000000,0.000000
cpp,3,95,0,0,36,0.000000,0.000000,0.000000
cpp,5,50,10,4,26,0.714300,0.277800,0.400000
cpp,5,55,10,3,26,0.769200,0.277800,0.408200
cpp,5,60,7,3,29,0.700000,0.194400,0.304300
cpp,5,65,6,2,30,0.750000,0.166700,0.272700
cpp,5,70,4,2,32,0.666700,0.111100,0.190500
cpp,5,75,3,2,33,0.600000,0.083300,0.146300
cpp,5,80,2,2,34,0.500000,0.055600,0.100000
cpp,5,85,1,1,35,0.500000,0.027800,0.052600
cpp,5,90,0,0,36,0.000000,0.000000,0.000000
cpp,5,95,0,0,36,0.000000,0.000000,0.000000
cpp,10,50,12,0,24,1.000000,0.333300,0.500000
cpp,10,55,11,0,25,1.000000,0.305600,0.468100
cpp,10,60,11,0,25,1.000000,0.305600,0.468100
cpp,10,65,10,0,26,1.000000,0.277800,0.434800
cpp,10,70,8,0,28,1.000000,0.222200,0.363600
cpp,10,75,7,0,29,1.000000,0.194400,0.325600
cpp,10,80,6,0,30,1.000000,0.166700,0.285700
cpp,10,85,4,0,32,1.000000,0.111100,0.200000
cpp,10,90,1,0,35,1.000000,0.027800,0.054100
cpp,10,95,1,0,35,1.000000,0.027800,0.054100
cpp,15,50,11,0,25,1.000000,0.305600,0.468100
cpp,15,55,8,0,28,1.000000,0.222200,0.363600
cpp,15,60,7,0,29,1.000000,0.194400,0.325600
cpp,15,65,5,0,31,1.000000,0.138900,0.243900
cpp,15,70,5,0,31,1.000000,0.138900,0.243900
cpp,15,75,5,0,31,1.000000,0.138900,0.243900
cpp,15,80,3,0,33,1.000000,0.083300,0.153800
cpp,15,85,2,0,34,1.000000,0.055600,0.105300
cpp,15,90,1,0,35,1.000000,0.027800,0.054100
cpp,15,95,1,0,35,1.000000,0.027800,0.054100
cpp,20,50,9,0,27,1.000000,0.250000,0.400000
cpp,20,55,8,0,28,1.000000,0.222200,0.363600
cpp,20,60,7,0,29,1.000000,0.194400,0.325600
cpp,20,65,5,0,31,1.000000,0.138900,0.243900
cpp,20,70,5,0,31,1.000000,0.138900,0.243900
cpp,20,75,5,0,31,1.000000,0.138900,0.243900
cpp,20,80,4,0,32,1.000000,0.111100,0.200000
cpp,20,85,3,0,33,1.000000,0.083300,0.153800
cpp,20,90,1,0,35,1.000000,0.027800,0.054100
cpp,20,95,1,0,35,1.000000,0.027800,0.054100
